#@ TextLoader{
#@   header+
#@   sep=tab
#@   col=ID:R4:0
#@   col=Phrase:TX:1
#@   col=Score:R4:2-16
#@   col=PredictedLabel:U4[0-14]:17
#@ }
ID	Phrase	16	15:PredictedLabel
1	good commercial follow	61.0972862	97.0271454	118.216446	94.44162	91.58753	63.62438	52.4251938	74.82522	72.081604	125.724022	72.92062	89.30483	78.24291	76.30722	78.3428345	6
2	licensing mode	52.9852676	92.30006	121.027161	76.8599854	80.48138	50.6567574	49.3060837	15.5146561	59.5811	120.20372	72.80662	110.1801	77.4372559	72.1634445	73.6619949	7
3	account manager	37.4261551	68.88316	67.32243	52.4274	73.93903	47.0562325	31.5584927	66.6955	41.99759	96.82771	56.4077	80.3531952	50.0752029	56.2974472	48.3654	6
4	technical support	37.6398048	81.15042	100.341133	72.7367859	64.7387543	49.43211	38.4220543	61.8092957	43.45275	90.83595	71.47046	72.7153244	58.957695	66.31964	11.6795731	14
5	good follow	55.20352	96.40707	120.910156	85.62688	81.85594	56.12073	48.4258842	66.41886	63.42283	119.098907	69.44571	84.14543	75.9726257	74.50398	71.93311	6
6	good relationship	45.3810844	90.811	113.14624	82.63335	70.3987	16.9981136	47.6627655	55.2833481	59.96949	98.3101044	69.17183	87.31087	72.09268	70.62873	72.35521	5
7	taking account	30.7014847	62.71444	67.1774139	53.9634247	61.45611	41.96146	23.4571228	46.91892	42.5026779	85.38281	56.37959	69.83563	45.20948	55.612915	42.7089767	6
8	windows server	55.4650345	82.38704	115.660065	67.4062	68.77301	66.49423	51.4418373	73.79692	30.960783	111.205612	75.89484	85.69056	70.44742	72.39169	74.42232	8
9	microsoft teams	44.1185341	70.36401	109.605072	67.5801239	72.3514252	58.5724831	41.1639481	63.6123543	26.9625435	97.93721	76.39876	68.03086	54.8516	63.7379227	55.2692337	8
10	commercial follow	47.85178	84.11395	96.51181	81.48502	80.89003	59.07527	39.5308876	68.74633	59.76111	110.576233	61.6545372	77.38711	64.12652	63.7541656	61.7195969	6
11	microsoft solutions	32.2854652	65.98941	94.34972	53.7157745	57.6549149	46.9625969	38.1633873	66.3128738	18.4349575	92.20212	64.50809	71.66849	52.81882	56.1266174	50.4299	8
12	microsoft products	28.8487244	56.2587852	88.66359	46.49777	49.8433151	41.0905952	27.3620834	52.52816	9.862406	80.28215	54.0619278	68.44553	43.0697021	49.87046	43.46319	8
13	sales	12.48802	52.94441	64.94881	46.14346	44.733284	22.5990715	7.947787	29.57875	23.9230843	63.593586	32.8147774	54.1077843	30.00785	29.9208641	33.8651352	6
14	teams	30.8084335	69.47904	95.16283	68.54413	68.61827	46.5355835	27.31242	49.6718979	44.2904053	88.40357	61.346817	56.116333	40.9277458	52.8953323	47.4000244	6
15	excellent	47.3279228	0	100.307831	79.05003	64.8596954	59.4589729	42.864933	69.51893	48.9675064	103.060532	55.4419975	79.59725	56.47056	67.58427	65.01572	1
16	software	17.1648026	55.6054955	62.51641	36.721653	47.3624458	29.3323441	15.6208086	45.3542671	13.8796787	70.97748	45.81952	58.9075	32.0831566	31.7106037	31.509119	8
17	azure	42.6645927	68.45505	101.175812	59.174942	71.94685	61.8523865	40.554348	61.7847366	45.8770981	89.5628357	58.3428574	87.41064	57.37892	57.47928	66.605545	6
18	offer	12.4731779	48.77649	70.00866	45.19915	45.2973328	21.57131	8.739099	33.52385	21.30362	65.57081	31.0933247	51.5699	26.5723381	29.61929	34.9867554	6
19	services	10.2809372	49.20519	61.1947823	34.7117462	38.6175461	19.6995888	6.710679	26.7630787	18.10672	67.0896149	33.0345535	51.94233	27.699955	29.082159	28.6492424	6
20	commercial	12.2315416	48.5886421	58.11589	44.533062	45.0568466	25.03909	7.67061329	35.24828	25.0868187	69.35824	32.199604	50.1461334	23.7289085	27.6495476	34.2255478	6
21	solution	10.0070972	54.4692535	69.81014	44.0815849	44.44948	27.0881424	15.2520962	42.63414	26.0126419	72.79327	40.4636345	52.4115753	29.3514633	36.8867	32.9616623	0
22	licensing	42.88442	82.419014	106.674034	70.47079	72.36413	46.23503	39.00417	8.531549	47.6724663	101.276047	64.51174	94.64717	64.1636	64.38279	65.253334	7
23	account	16.575201	55.9864273	49.4532	39.3804321	45.45681	26.4989243	10.9840984	33.21805	24.6442337	69.8507843	40.57773	56.18878	29.11182	38.3265343	32.1008148	6
24	partner	31.6244259	62.8442459	96.67998	60.0586243	59.70201	45.7907562	29.20605	62.59584	44.0150833	91.42585	52.3853264	78.00987	49.4942665	48.43201	54.7508621	6
